cpu_percent,memory_percent,active_cores,efficiency,cpu_per_core,timestamp
5.2,26.3,3,0.020421597563282906,"[1.8, 0.0, 29.4, 0.9, 0.9, 0.0, 24.8, 7.3, 0.0, 0.0, 12.8, 0.0, 0.0, 0.0, 5.5, 0.0]",2025-02-17T19:28:20.817795
0.8,26.3,0,0.002198345873700158,"[4.7, 0.0, 1.6, 0.0, 0.0, 0.0, 3.1, 0.0, 0.0, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0]",2025-02-17T19:28:21.823709
2.7,26.3,2,0.009587598246310114,"[1.5, 0.0, 13.8, 0.0, 0.0, 0.0, 17.2, 4.7, 0.0, 0.0, 4.7, 0.0, 0.0, 0.0, 1.6, 0.0]",2025-02-17T19:28:22.824619
1.0,26.3,0,0.0027476229118132338,"[2.9, 0.0, 5.9, 0.0, 0.0, 0.0, 2.9, 1.5, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 1.5, 0.0]",2025-02-17T19:28:23.879577
1.2,26.3,0,0.0032967761686067665,"[3.3, 0.0, 6.7, 1.7, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0, 0.0, 0.0]",2025-02-17T19:28:24.817429
1.4,26.3,0,0.003845805639496515,"[6.1, 0.0, 4.7, 0.0, 0.0, 0.0, 3.1, 0.0, 0.0, 0.0, 4.7, 0.0, 0.0, 0.0, 3.1, 0.0]",2025-02-17T19:28:25.827347
1.5,26.3,0,0.00412027395379695,"[3.1, 0.0, 9.4, 0.0, 0.0, 0.0, 6.2, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 3.1, 0.0]",2025-02-17T19:28:26.816245
0.6,26.3,0,0.001648945058859287,"[3.1, 0.0, 0.0, 1.6, 0.0, 0.0, 1.6, 1.5, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0]",2025-02-17T19:28:27.816153
0.8,26.3,0,0.002198345873700158,"[3.1, 0.0, 7.8, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2025-02-17T19:28:28.820065
1.0,26.3,0,0.0027476229118132338,"[3.1, 0.0, 4.7, 1.6, 0.0, 0.0, 6.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2025-02-17T19:28:29.815970
0.3,26.3,0,0.001,"[0.0, 0.0, 1.6, 1.6, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2025-02-17T19:28:30.816879
1.5,26.3,0,0.00412027395379695,"[3.1, 0.0, 7.8, 3.1, 0.0, 0.0, 3.1, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 4.7, 0.0]",2025-02-17T19:28:31.815787
14.3,26.3,6,0.07191818790697839,"[14.5, 0.9, 57.8, 17.2, 6.8, 0.0, 63.8, 8.6, 0.9, 0.9, 39.7, 1.7, 2.6, 0.0, 12.9, 0.9]",2025-02-17T19:28:33.629434
